RunID,Mode,Lambda1,Lambda2,Gamma,GraphK,Tol,ACC,NMI,Purity,TimeSec,Status
72,2,1.000000,0.010000,1.10,3,1.0e-03,0.145000,0.395761,0.195000,7.58,Success
73,3,1.000000,0.010000,1.10,3,1.0e-03,0.140000,0.373605,0.170000,7.59,Success
74,4,1.000000,0.010000,1.10,3,1.0e-03,0.177500,0.393170,0.207500,7.71,Success
75,5,1.000000,0.010000,1.10,3,1.0e-03,0.202500,0.435948,0.217500,7.69,Success
76,1,0.000100,0.100000,1.10,3,1.0e-03,0.437500,0.631602,0.465000,6.14,Success
77,2,0.000100,0.100000,1.10,3,1.0e-03,0.422500,0.651603,0.472500,5.08,Success
78,3,0.000100,0.100000,1.10,3,1.0e-03,0.327500,0.549554,0.350000,3.81,Success
79,4,0.000100,0.100000,1.10,3,1.0e-03,0.362500,0.589502,0.392500,4.63,Success
80,5,0.000100,0.100000,1.10,3,1.0e-03,0.347500,0.575617,0.377500,5.73,Success
81,1,0.001000,0.100000,1.10,3,1.0e-03,0.377500,0.582569,0.392500,4.05,Success
82,2,0.001000,0.100000,1.10,3,1.0e-03,0.422500,0.665582,0.462500,6.13,Success
83,3,0.001000,0.100000,1.10,3,1.0e-03,0.390000,0.604135,0.415000,5.02,Success
84,4,0.001000,0.100000,1.10,3,1.0e-03,0.345000,0.566979,0.370000,4.35,Success
85,5,0.001000,0.100000,1.10,3,1.0e-03,0.360000,0.582530,0.390000,5.71,Success
86,1,0.010000,0.100000,1.10,3,1.0e-03,0.255000,0.497546,0.287500,2.56,Success
87,2,0.010000,0.100000,1.10,3,1.0e-03,0.427500,0.650118,0.470000,5.14,Success
88,3,0.010000,0.100000,1.10,3,1.0e-03,0.345000,0.563721,0.360000,4.18,Success
89,4,0.010000,0.100000,1.10,3,1.0e-03,0.367500,0.584471,0.402500,5.25,Success
90,5,0.010000,0.100000,1.10,3,1.0e-03,0.302500,0.536644,0.320000,4.57,Success
91,1,0.100000,0.100000,1.10,3,1.0e-03,0.377500,0.599010,0.407500,5.04,Success
92,2,0.100000,0.100000,1.10,3,1.0e-03,0.405000,0.632643,0.442500,3.97,Success
93,3,0.100000,0.100000,1.10,3,1.0e-03,0.427500,0.618955,0.442500,4.66,Success
94,4,0.100000,0.100000,1.10,3,1.0e-03,0.360000,0.578850,0.385000,4.23,Success
95,5,0.100000,0.100000,1.10,3,1.0e-03,0.370000,0.581892,0.392500,4.65,Success
96,1,1.000000,0.100000,1.10,3,1.0e-03,0.255000,0.484873,0.272500,1.68,Success
97,2,1.000000,0.100000,1.10,3,1.0e-03,0.140000,0.348813,0.180000,7.60,Success
98,3,1.000000,0.100000,1.10,3,1.0e-03,0.200000,0.432144,0.217500,7.78,Success
99,4,1.000000,0.100000,1.10,3,1.0e-03,0.207500,0.445504,0.230000,7.62,Success
100,5,1.000000,0.100000,1.10,3,1.0e-03,0.282500,0.527534,0.307500,3.19,Success
101,1,0.000100,1.000000,1.10,3,1.0e-03,0.345000,0.552402,0.362500,2.68,Success
102,2,0.000100,1.000000,1.10,3,1.0e-03,0.377500,0.592157,0.410000,2.81,Success
103,3,0.000100,1.000000,1.10,3,1.0e-03,0.342500,0.557625,0.355000,2.86,Success
104,4,0.000100,1.000000,1.10,3,1.0e-03,0.337500,0.565798,0.370000,2.92,Success
105,5,0.000100,1.000000,1.10,3,1.0e-03,0.332500,0.552287,0.350000,2.68,Success
106,1,0.001000,1.000000,1.10,3,1.0e-03,0.345000,0.552402,0.362500,2.68,Success
107,2,0.001000,1.000000,1.10,3,1.0e-03,0.357500,0.587393,0.395000,2.88,Success
108,3,0.001000,1.000000,1.10,3,1.0e-03,0.337500,0.552021,0.360000,2.91,Success
109,4,0.001000,1.000000,1.10,3,1.0e-03,0.355000,0.571275,0.385000,2.89,Success
110,5,0.001000,1.000000,1.10,3,1.0e-03,0.350000,0.567055,0.377500,2.73,Success
111,1,0.010000,1.000000,1.10,3,1.0e-03,0.317500,0.541541,0.337500,2.78,Success
112,2,0.010000,1.000000,1.10,3,1.0e-03,0.365000,0.593968,0.405000,2.83,Success
113,3,0.010000,1.000000,1.10,3,1.0e-03,0.350000,0.567961,0.392500,2.80,Success
114,4,0.010000,1.000000,1.10,3,1.0e-03,0.300000,0.545506,0.337500,2.87,Success
115,5,0.010000,1.000000,1.10,3,1.0e-03,0.365000,0.578155,0.395000,2.67,Success
116,1,0.100000,1.000000,1.10,3,1.0e-03,0.317500,0.559023,0.345000,2.68,Success
117,2,0.100000,1.000000,1.10,3,1.0e-03,0.367500,0.602902,0.415000,2.72,Success
118,3,0.100000,1.000000,1.10,3,1.0e-03,0.342500,0.557541,0.365000,2.84,Success
119,4,0.100000,1.000000,1.10,3,1.0e-03,0.347500,0.568568,0.370000,2.84,Success
120,5,0.100000,1.000000,1.10,3,1.0e-03,0.310000,0.534410,0.332500,2.66,Success
121,1,1.000000,1.000000,1.10,3,1.0e-03,0.347500,0.555272,0.357500,2.68,Success
122,2,1.000000,1.000000,1.10,3,1.0e-03,0.355000,0.597922,0.395000,2.82,Success
123,3,1.000000,1.000000,1.10,3,1.0e-03,0.380000,0.575977,0.397500,2.83,Success
124,4,1.000000,1.000000,1.10,3,1.0e-03,0.342500,0.574894,0.375000,2.88,Success
125,5,1.000000,1.000000,1.10,3,1.0e-03,0.347500,0.570994,0.370000,2.67,Success
126,1,0.000100,0.000100,1.30,3,1.0e-03,0.335000,0.565281,0.357500,4.25,Success
127,2,0.000100,0.000100,1.30,3,1.0e-03,0.610000,0.801799,0.650000,7.72,Success
128,3,0.000100,0.000100,1.30,3,1.0e-03,0.492500,0.699284,0.532500,7.50,Success
129,4,0.000100,0.000100,1.30,3,1.0e-03,0.460000,0.687220,0.502500,5.96,Success
130,5,0.000100,0.000100,1.30,3,1.0e-03,0.337500,0.573350,0.360000,5.50,Success
131,1,0.001000,0.000100,1.30,3,1.0e-03,0.170000,0.371682,0.200000,7.65,Success
132,2,0.001000,0.000100,1.30,3,1.0e-03,0.535000,0.747212,0.580000,3.98,Success
133,3,0.001000,0.000100,1.30,3,1.0e-03,0.070000,0.249019,0.130000,7.62,Success
134,4,0.001000,0.000100,1.30,3,1.0e-03,0.070000,0.258540,0.135000,7.81,Success
135,5,0.001000,0.000100,1.30,3,1.0e-03,0.182500,0.408061,0.185000,7.64,Success
136,1,0.010000,0.000100,1.30,3,1.0e-03,0.145000,0.371967,0.192500,7.70,Success
137,2,0.010000,0.000100,1.30,3,1.0e-03,0.180000,0.394355,0.235000,8.09,Success
138,3,0.010000,0.000100,1.30,3,1.0e-03,0.215000,0.415466,0.250000,7.82,Success
139,4,0.010000,0.000100,1.30,3,1.0e-03,0.235000,0.456551,0.270000,7.92,Success
140,5,0.010000,0.000100,1.30,3,1.0e-03,0.135000,0.360044,0.177500,7.70,Success
141,1,0.100000,0.000100,1.30,3,1.0e-03,0.205000,0.442024,0.220000,7.69,Success
142,2,0.100000,0.000100,1.30,3,1.0e-03,0.240000,0.471767,0.250000,7.79,Success
143,3,0.100000,0.000100,1.30,3,1.0e-03,0.212500,0.449930,0.220000,7.72,Success
144,4,0.100000,0.000100,1.30,3,1.0e-03,0.217500,0.457965,0.227500,7.80,Success
145,5,0.100000,0.000100,1.30,3,1.0e-03,0.205000,0.442854,0.217500,7.75,Success
146,1,1.000000,0.000100,1.30,3,1.0e-03,0.180000,0.426612,0.187500,7.72,Success
147,2,1.000000,0.000100,1.30,3,1.0e-03,0.217500,0.452147,0.230000,7.85,Success
148,3,1.000000,0.000100,1.30,3,1.0e-03,0.207500,0.446181,0.222500,7.70,Success
149,4,1.000000,0.000100,1.30,3,1.0e-03,0.200000,0.437448,0.210000,7.71,Success
150,5,1.000000,0.000100,1.30,3,1.0e-03,0.192500,0.431704,0.202500,7.67,Success
151,1,0.000100,0.001000,1.30,3,1.0e-03,0.322500,0.560463,0.352500,4.24,Success
152,2,0.000100,0.001000,1.30,3,1.0e-03,0.575000,0.778970,0.640000,7.69,Success
153,3,0.000100,0.001000,1.30,3,1.0e-03,0.405000,0.643440,0.427500,5.96,Success
154,4,0.000100,0.001000,1.30,3,1.0e-03,0.475000,0.690315,0.507500,7.77,Success
155,5,0.000100,0.001000,1.30,3,1.0e-03,0.290000,0.533306,0.317500,3.99,Success
156,1,0.001000,0.001000,1.30,3,1.0e-03,0.380000,0.582776,0.395000,5.09,Success
157,2,0.001000,0.001000,1.30,3,1.0e-03,0.540000,0.731885,0.572500,7.70,Success
158,3,0.001000,0.001000,1.30,3,1.0e-03,0.417500,0.670061,0.460000,5.93,Success
159,4,0.001000,0.001000,1.30,3,1.0e-03,0.432500,0.667626,0.465000,6.07,Success
160,5,0.001000,0.001000,1.30,3,1.0e-03,0.305000,0.564858,0.345000,7.74,Success
161,1,0.010000,0.001000,1.30,3,1.0e-03,0.175000,0.407556,0.192500,7.60,Success
162,2,0.010000,0.001000,1.30,3,1.0e-03,0.150000,0.332208,0.190000,7.58,Success
163,3,0.010000,0.001000,1.30,3,1.0e-03,0.065000,0.252275,0.130000,7.54,Success
164,4,0.010000,0.001000,1.30,3,1.0e-03,0.065000,0.250656,0.127500,7.64,Success
165,5,0.010000,0.001000,1.30,3,1.0e-03,0.197500,0.427605,0.210000,7.61,Success
166,1,0.100000,0.001000,1.30,3,1.0e-03,0.132500,0.365525,0.177500,7.77,Success
167,2,0.100000,0.001000,1.30,3,1.0e-03,0.192500,0.443547,0.255000,7.62,Success
168,3,0.100000,0.001000,1.30,3,1.0e-03,0.147500,0.413808,0.205000,7.65,Success
169,4,0.100000,0.001000,1.30,3,1.0e-03,0.142500,0.412992,0.215000,7.66,Success
170,5,0.100000,0.001000,1.30,3,1.0e-03,0.127500,0.359866,0.180000,7.58,Success
171,1,1.000000,0.001000,1.30,3,1.0e-03,0.210000,0.444337,0.222500,7.66,Success
172,2,1.000000,0.001000,1.30,3,1.0e-03,0.210000,0.449246,0.217500,7.68,Success
173,3,1.000000,0.001000,1.30,3,1.0e-03,0.197500,0.433424,0.205000,7.72,Success
174,4,1.000000,0.001000,1.30,3,1.0e-03,0.210000,0.440222,0.217500,7.65,Success
175,5,1.000000,0.001000,1.30,3,1.0e-03,0.192500,0.435101,0.205000,7.99,Success
176,1,0.000100,0.010000,1.30,3,1.0e-03,0.352500,0.575800,0.375000,5.25,Success
177,2,0.000100,0.010000,1.30,3,1.0e-03,0.500000,0.717540,0.552500,7.81,Success
178,3,0.000100,0.010000,1.30,3,1.0e-03,0.362500,0.592791,0.392500,5.94,Success
179,4,0.000100,0.010000,1.30,3,1.0e-03,0.420000,0.652976,0.445000,5.49,Success
180,5,0.000100,0.010000,1.30,3,1.0e-03,0.287500,0.515876,0.310000,5.50,Success
181,1,0.001000,0.010000,1.30,3,1.0e-03,0.337500,0.564225,0.362500,5.26,Success
182,2,0.001000,0.010000,1.30,3,1.0e-03,0.507500,0.727790,0.542500,7.85,Success
183,3,0.001000,0.010000,1.30,3,1.0e-03,0.425000,0.637579,0.467500,7.50,Success
184,4,0.001000,0.010000,1.30,3,1.0e-03,0.382500,0.610261,0.417500,4.00,Success
185,5,0.001000,0.010000,1.30,3,1.0e-03,0.285000,0.532907,0.320000,5.79,Success
186,1,0.010000,0.010000,1.30,3,1.0e-03,0.415000,0.611183,0.442500,7.69,Success
187,2,0.010000,0.010000,1.30,3,1.0e-03,0.510000,0.702633,0.542500,7.68,Success
188,3,0.010000,0.010000,1.30,3,1.0e-03,0.390000,0.633198,0.437500,6.63,Success
189,4,0.010000,0.010000,1.30,3,1.0e-03,0.447500,0.661705,0.475000,7.59,Success
190,5,0.010000,0.010000,1.30,3,1.0e-03,0.287500,0.524736,0.307500,5.92,Success
191,1,0.100000,0.010000,1.30,3,1.0e-03,0.190000,0.406777,0.215000,7.56,Success
192,2,0.100000,0.010000,1.30,3,1.0e-03,0.070000,0.260940,0.130000,7.52,Success
193,3,0.100000,0.010000,1.30,3,1.0e-03,0.067500,0.266525,0.132500,7.59,Success
194,4,0.100000,0.010000,1.30,3,1.0e-03,0.070000,0.266749,0.135000,7.64,Success
